,index,id,dealerName,roundCode,resultRaw,betTypeResult
0,149,520392,Emilly,58780565,"1,4,6","BIG,ODD,"
1,148,520393,Emilly,58780618,"2,4,6","BIG,EVEN,"
2,147,520394,Emilly,58780669,"1,3,4","SMALL,EVEN,"
3,146,520395,Emilly,58780720,"1,2,3","SMALL,EVEN,"
4,145,520396,Emilly,58780778,"1,4,6","BIG,ODD,"
5,144,520397,Emilly,58780830,"1,6,6","BIG,ODD,"
6,143,520398,Emilly,58780886,"3,5,6","BIG,EVEN,"
7,142,520399,Emilly,58780937,"3,4,6","BIG,ODD,"
8,141,520400,Angela,58780997,"3,5,6","BIG,EVEN,"
9,140,520401,Angela,58781042,"4,5,6","BIG,ODD,"
10,139,520402,Angela,58781099,"1,1,6","SMALL,EVEN,"
11,138,520403,Angela,58781145,"2,5,5","BIG,EVEN,"
12,137,520404,Angela,58781202,"1,3,6","SMALL,EVEN,"
13,136,520405,Angela,58781253,"2,5,6","BIG,ODD,"
14,135,520406,Angela,58781304,"1,2,3","SMALL,EVEN,"
15,134,520407,Angela,58781358,"4,5,5","BIG,EVEN,"
16,133,520408,Angela,58781408,"2,2,5","SMALL,ODD,"
17,132,520409,Angela,58781456,"2,6,6","BIG,EVEN,"
18,131,520410,Angela,58781506,"1,2,6","SMALL,ODD,"
19,130,520411,Angela,58781560,"2,3,6","BIG,ODD,"
20,129,520412,Angela,58781611,"2,3,5","SMALL,EVEN,"
21,128,520413,Angela,58781662,"2,3,5","SMALL,EVEN,"
22,127,520414,Angela,58781713,"1,2,4","SMALL,ODD,"
23,126,520415,Angela,58781771,"1,5,6","BIG,EVEN,"
24,125,520416,Angela,58781816,"3,3,4","SMALL,EVEN,"
25,124,520417,Angela,58781870,"2,6,6","BIG,EVEN,"
26,123,520418,Rossa,58781925,"1,2,6","SMALL,ODD,"
27,122,520419,Rossa,58781982,"2,4,5","BIG,ODD,"
28,121,520420,Rossa,58782035,"2,5,5","BIG,EVEN,"
29,120,520421,Rossa,58782092,"2,4,4","SMALL,EVEN,"
30,119,520422,Rossa,58782149,"1,4,4","SMALL,ODD,"
31,118,520423,Rossa,58782201,"1,5,6","BIG,EVEN,"
32,117,520424,Rossa,58782255,"1,3,6","SMALL,EVEN,"
33,116,520425,Rossa,58782313,"3,4,6","BIG,ODD,"
34,115,520426,Rossa,58782363,"2,3,5","SMALL,EVEN,"
35,114,520427,Rossa,58782422,"1,3,4","SMALL,EVEN,"
36,113,520428,Rossa,58782477,"1,2,6","SMALL,ODD,"
37,112,520429,Rossa,58782532,"2,3,6","BIG,ODD,"
38,111,520430,Rossa,58782590,"1,4,5","SMALL,EVEN,"
39,110,520431,Rossa,58782643,"3,5,6","BIG,EVEN,"
40,109,520432,Rossa,58782701,"3,4,4","BIG,ODD,"
41,108,520433,Rossa,58782759,"3,3,5","BIG,ODD,"
42,107,520434,Rossa,58782819,"1,1,2","SMALL,EVEN,"
43,106,520435,Emilly,58782868,"4,5,6","BIG,ODD,"
44,105,520436,Emilly,58782927,"1,2,4","SMALL,ODD,"
45,104,520437,Emilly,58782978,"1,6,6","BIG,ODD,"
46,103,520438,Emilly,58783026,"3,4,5","BIG,EVEN,"
47,102,520439,Emilly,58783079,"3,4,6","BIG,ODD,"
48,101,520440,Emilly,58783136,"3,3,6","BIG,EVEN,"
49,100,520441,Emilly,58783183,"4,5,5","BIG,EVEN,"
50,99,520442,Emilly,58783236,"3,4,5","BIG,EVEN,"
51,98,520443,Emilly,58783290,"1,5,6","BIG,EVEN,"
52,97,520444,Emilly,58783343,"1,2,4","SMALL,ODD,"
53,96,520445,Emilly,58783399,"4,5,6","BIG,ODD,"
54,95,520446,Emilly,58783467,"1,4,6","BIG,ODD,"
55,94,520447,Emilly,58783525,"2,4,5","BIG,ODD,"
56,93,520448,Emilly,58783584,"1,1,5","SMALL,ODD,"
57,92,520449,Emilly,58783634,"1,1,2","SMALL,EVEN,"
58,91,520450,Emilly,58783693,"1,3,5","SMALL,ODD,"
59,90,520451,Emilly,58783748,"4,5,5","BIG,EVEN,"
60,89,520452,Angela,58783804,"3,4,5","BIG,EVEN,"
61,88,520453,Angela,58783856,"1,4,4","SMALL,ODD,"
62,87,520454,Angela,58783908,"1,5,6","BIG,EVEN,"
63,86,520455,Angela,58783959,"4,5,6","BIG,ODD,"
64,85,520456,Angela,58784012,"2,3,6","BIG,ODD,"
65,84,520457,Angela,58784060,"5,5,5","BIG,ODD,"
66,83,520458,Angela,58784117,"1,2,6","SMALL,ODD,"
67,82,520459,Angela,58784170,"3,4,6","BIG,ODD,"
68,81,520460,Angela,58784216,"3,6,6","BIG,ODD,"
69,80,520461,Angela,58784268,"3,3,4","SMALL,EVEN,"
70,79,520462,Angela,58784319,"1,3,6","SMALL,EVEN,"
71,78,520463,Angela,58784368,"2,2,4","SMALL,EVEN,"
72,77,520464,Angela,58784430,"1,3,3","SMALL,ODD,"
73,76,520465,Angela,58784477,"2,2,4","SMALL,EVEN,"
74,75,520466,Angela,58784538,"3,4,4","BIG,ODD,"
75,74,520467,Angela,58784590,"1,1,3","SMALL,ODD,"
76,73,520468,Angela,58784646,"1,6,6","BIG,ODD,"
77,72,520469,Angela,58784696,"1,4,6","BIG,ODD,"
78,71,520470,Rossa,58784755,"1,3,6","SMALL,EVEN,"
79,70,520471,Rossa,58784809,"1,4,6","BIG,ODD,"
80,69,520472,Rossa,58784862,"1,4,5","SMALL,EVEN,"
81,68,520473,Rossa,58784913,"2,2,2","SMALL,EVEN,"
82,67,520474,Rossa,58784976,"1,2,4","SMALL,ODD,"
83,66,520475,Rossa,58785032,"1,3,5","SMALL,ODD,"
84,65,520476,Rossa,58785088,"1,4,4","SMALL,ODD,"
85,64,520477,Rossa,58785145,"3,5,6","BIG,EVEN,"
86,63,520478,Rossa,58785198,"3,5,6","BIG,EVEN,"
87,62,520479,Rossa,58785252,"2,3,4","SMALL,ODD,"
88,61,520480,Rossa,58785306,"1,2,6","SMALL,ODD,"
89,60,520481,Rossa,58785357,"1,1,2","SMALL,EVEN,"
90,59,520482,Rossa,58785413,"2,5,5","BIG,EVEN,"
91,58,520483,Rossa,58785476,"2,4,6","BIG,EVEN,"
92,57,520484,Rossa,58785528,"2,2,3","SMALL,ODD,"
93,56,520485,Rossa,58785586,"1,1,6","SMALL,EVEN,"
94,55,520486,Rossa,58785646,"3,6,6","BIG,ODD,"
95,54,520487,Emilly,58785698,"3,3,3","SMALL,ODD,"
96,53,520488,Emilly,58785747,"3,5,6","BIG,EVEN,"
97,52,520489,Emilly,58785807,"2,3,3","SMALL,EVEN,"
98,51,520490,Emilly,58785861,"3,5,5","BIG,ODD,"
99,50,520491,Emilly,58785917,"1,4,5","SMALL,EVEN,"
100,49,520492,Emilly,58785975,"4,4,5","BIG,ODD,"
101,48,520493,Emilly,58786035,"2,3,4","SMALL,ODD,"
102,47,520494,Emilly,58786084,"2,2,3","SMALL,ODD,"
103,46,520495,Emilly,58786138,"3,4,5","BIG,EVEN,"
104,45,520496,Emilly,58786195,"3,5,6","BIG,EVEN,"
105,44,520497,Emilly,58786252,"2,3,4","SMALL,ODD,"
106,43,520498,Emilly,58786313,"1,2,6","SMALL,ODD,"
107,42,520499,Emilly,58786374,"1,2,2","SMALL,ODD,"
108,41,520500,Emilly,58786433,"1,3,5","SMALL,ODD,"
109,40,520501,Emilly,58786495,"1,5,5","BIG,ODD,"
110,39,520502,Emilly,58786549,"1,2,6","SMALL,ODD,"
111,38,520503,Angela,58786605,"3,3,5","BIG,ODD,"
112,37,520504,Angela,58786659,"2,3,4","SMALL,ODD,"
113,36,520505,Angela,58786708,"5,6,6","BIG,ODD,"
114,35,520506,Angela,58786762,"1,2,6","SMALL,ODD,"
115,34,520507,Angela,58786814,"3,3,5","BIG,ODD,"
116,33,520508,Angela,58786868,"1,2,2","SMALL,ODD,"
117,32,520509,Angela,58786921,"4,4,4","BIG,EVEN,"
118,31,520510,Angela,58786969,"2,4,4","SMALL,EVEN,"
119,30,520511,Angela,58787022,"1,2,4","SMALL,ODD,"
120,29,520512,Angela,58787073,"1,3,6","SMALL,EVEN,"
121,28,520513,Angela,58787129,"1,4,5","SMALL,EVEN,"
122,27,520514,Angela,58787182,"4,5,6","BIG,ODD,"
123,26,520515,Angela,58787232,"1,2,5","SMALL,EVEN,"
124,25,520516,Angela,58787286,"4,4,6","BIG,EVEN,"
125,24,520517,Angela,58787337,"3,4,5","BIG,EVEN,"
126,23,520518,Angela,58787391,"2,4,4","SMALL,EVEN,"
127,22,520519,Angela,58787444,"2,3,5","SMALL,EVEN,"
128,21,520520,Angela,58787497,"1,2,6","SMALL,ODD,"
129,20,520521,Rossa,58787551,"3,3,6","BIG,EVEN,"
130,19,520522,Rossa,58787611,"2,4,4","SMALL,EVEN,"
131,18,520523,Rossa,58787673,"1,2,3","SMALL,EVEN,"
132,17,520524,Rossa,58787731,"2,6,6","BIG,EVEN,"
133,16,520525,Rossa,58787784,"2,4,5","BIG,ODD,"
134,15,520526,Rossa,58787842,"2,4,5","BIG,ODD,"
135,14,520527,Rossa,58787903,"2,4,6","BIG,EVEN,"
136,13,520528,Rossa,58787955,"1,1,6","SMALL,EVEN,"
137,12,520529,Rossa,58788015,"3,4,6","BIG,ODD,"
138,11,520530,Rossa,58788068,"4,5,6","BIG,ODD,"
139,10,520531,Rossa,58788134,"4,5,5","BIG,EVEN,"
140,9,520532,Rossa,58788190,"2,5,5","BIG,EVEN,"
141,8,520533,Rossa,58788249,"5,6,6","BIG,ODD,"
142,7,520534,Rossa,58788312,"2,3,5","SMALL,EVEN,"
143,6,520535,Rossa,58788367,"4,4,6","BIG,EVEN,"
144,5,520536,Rossa,58788429,"3,4,5","BIG,EVEN,"
145,4,520537,Emilly,58788481,"1,3,6","SMALL,EVEN,"
146,3,520538,Emilly,58788539,"2,3,6","BIG,ODD,"
147,2,520539,Emilly,58788593,"4,4,6","BIG,EVEN,"
148,1,520540,Emilly,58788644,"3,3,5","BIG,ODD,"
149,0,520541,Emilly,58788695,,
